Passenger ID,Age,Fare,Sex,No. of Siblings/Spouses,No. of Parents/Children,Passenger Class,Embarked,Survived
1,22,7,0,1,0,3,2,0
2,38,71,1,1,0,1,0,1
3,26,8,1,0,0,3,2,1
4,35,53,1,1,0,1,2,1
5,35,8,0,0,0,3,2,0
6,28,8,0,0,0,3,1,0
7,54,52,0,0,0,1,2,0
8,2,21,0,3,1,3,2,0
9,27,11,1,0,2,3,2,1
10,14,30,1,1,0,2,0,1
11,4,17,1,1,1,3,2,1
12,58,27,1,0,0,1,2,1
13,20,8,0,0,0,3,2,0
14,39,31,0,1,5,3,2,0
15,14,8,1,0,0,3,2,0
16,55,16,1,0,0,2,2,1
17,2,29,0,4,1,3,1,0
18,28,13,0,0,0,2,2,1
19,31,18,1,1,0,3,2,0
20,28,7,1,0,0,3,0,1
21,35,26,0,0,0,2,2,0
22,34,13,0,0,0,2,2,1
23,15,8,1,0,0,3,1,1
24,28,36,0,0,0,1,2,1
25,8,21,1,3,1,3,2,0
26,38,31,1,1,5,3,2,1
27,28,7,0,0,0,3,0,0
28,19,263,0,3,2,1,2,0
29,28,8,1,0,0,3,1,1
30,28,8,0,0,0,3,2,0
31,40,28,0,0,0,1,0,0
32,28,147,1,1,0,1,0,1
33,28,8,1,0,0,3,1,1
34,66,10,0,0,0,2,2,0
35,28,82,0,1,0,1,0,0
36,42,52,0,1,0,1,2,0
37,28,7,0,0,0,3,0,1
38,21,8,0,0,0,3,2,0
39,18,18,1,2,0,3,2,0
40,14,11,1,1,0,3,0,1
41,40,9,1,1,0,3,2,0
42,27,21,1,1,0,2,2,0
43,28,8,0,0,0,3,0,0
44,3,42,1,1,2,2,0,1
45,19,8,1,0,0,3,1,1
46,28,8,0,0,0,3,2,0
47,28,16,0,1,0,3,1,0
48,28,8,1,0,0,3,1,1
49,28,22,0,2,0,3,0,0
50,18,18,1,1,0,3,2,0
51,7,40,0,4,1,3,2,0
52,21,8,0,0,0,3,2,0
53,49,77,1,1,0,1,0,1
54,29,26,1,1,0,2,2,1
55,65,62,0,0,1,1,0,0
56,28,36,0,0,0,1,2,1
57,21,10,1,0,0,2,2,1
58,28,7,0,0,0,3,0,0
59,5,28,1,1,2,2,2,1
60,11,47,0,5,2,3,2,0
61,22,7,0,0,0,3,0,0
62,38,80,1,0,0,1,,1
63,45,83,0,1,0,1,2,0
64,4,28,0,3,2,3,2,0
65,28,28,0,0,0,1,0,0
66,28,15,0,1,1,3,0,1
67,29,10,1,0,0,2,2,1
68,19,8,0,0,0,3,2,0
69,17,8,1,4,2,3,2,1
70,26,9,0,2,0,3,2,0
71,32,10,0,0,0,2,2,0
72,16,47,1,5,2,3,2,0
73,21,74,0,0,0,2,2,0
74,26,14,0,1,0,3,0,0
75,32,56,0,0,0,3,2,1
76,25,8,0,0,0,3,2,0
77,28,8,0,0,0,3,2,0
78,28,8,0,0,0,3,2,0
79,1,29,0,0,2,2,2,1
80,30,12,1,0,0,3,2,1
81,22,9,0,0,0,3,2,0
82,29,10,0,0,0,3,2,1
83,28,8,1,0,0,3,1,1
84,28,47,0,0,0,1,2,0
85,17,10,1,0,0,2,2,1
86,33,16,1,3,0,3,2,1
87,16,34,0,1,3,3,2,0
88,28,8,0,0,0,3,2,0
89,23,263,1,3,2,1,2,1
90,24,8,0,0,0,3,2,0
91,29,8,0,0,0,3,2,0
92,20,8,0,0,0,3,2,0
93,46,61,0,1,0,1,2,0
94,26,21,0,1,2,3,2,0
95,59,7,0,0,0,3,2,0
96,28,8,0,0,0,3,2,0
97,71,35,0,0,0,1,0,0
98,23,63,0,0,1,1,0,1
99,34,23,1,0,1,2,2,1
100,34,26,0,1,0,2,2,0
101,28,8,1,0,0,3,2,0
102,28,8,0,0,0,3,2,0
103,21,77,0,0,1,1,2,0
104,33,9,0,0,0,3,2,0
105,37,8,0,2,0,3,2,0
106,28,8,0,0,0,3,2,0
107,21,8,1,0,0,3,2,1
108,28,8,0,0,0,3,2,1
109,38,8,0,0,0,3,2,0
110,28,24,1,1,0,3,1,1
111,47,52,0,0,0,1,2,0
112,14,14,1,1,0,3,0,0
113,22,8,0,0,0,3,2,0
114,20,10,1,1,0,3,2,0
115,17,14,1,0,0,3,0,0
116,21,8,0,0,0,3,2,0
117,70,8,0,0,0,3,1,0
118,29,21,0,1,0,2,2,0
119,24,248,0,0,1,1,0,0
120,2,31,1,4,2,3,2,0
121,21,74,0,2,0,2,2,0
122,28,8,0,0,0,3,2,0
123,32,30,0,1,0,2,0,0
124,32,13,1,0,0,2,2,1
125,54,77,0,0,1,1,2,0
126,12,11,0,1,0,3,0,1
127,28,8,0,0,0,3,1,0
128,24,7,0,0,0,3,2,1
129,28,22,1,1,1,3,0,1
130,45,7,0,0,0,3,2,0
131,33,8,0,0,0,3,0,0
132,20,7,0,0,0,3,2,0
133,47,14,1,1,0,3,2,0
134,29,26,1,1,0,2,2,1
135,25,13,0,0,0,2,2,0
136,23,15,0,0,0,2,0,0
137,19,26,1,0,2,1,2,1
138,37,53,0,1,0,1,2,0
139,16,9,0,0,0,3,2,0
140,24,79,0,0,0,1,0,0
141,28,15,1,0,2,3,0,0
142,22,8,1,0,0,3,2,1
143,24,16,1,1,0,3,2,1
144,19,7,0,0,0,3,1,0
145,18,12,0,0,0,2,2,0
146,19,37,0,1,1,2,2,0
147,27,8,0,0,0,3,2,1
148,9,34,1,2,2,3,2,0
149,36,26,0,0,2,2,2,0
150,42,13,0,0,0,2,2,0
151,51,13,0,0,0,2,2,0
152,22,67,1,1,0,1,2,1
153,56,8,0,0,0,3,2,0
154,40,14,0,0,2,3,2,0
155,28,7,0,0,0,3,2,0
156,51,61,0,0,1,1,0,0
157,16,8,1,0,0,3,1,1
158,30,8,0,0,0,3,2,0
159,28,9,0,0,0,3,2,0
160,28,70,0,8,2,3,2,0
161,44,16,0,0,1,3,2,0
162,40,16,1,0,0,2,2,1
163,26,8,0,0,0,3,2,0
164,17,9,0,0,0,3,2,0
165,1,40,0,4,1,3,2,0
166,9,21,0,0,2,3,2,1
167,28,55,1,0,1,1,2,1
168,45,28,1,1,4,3,2,0
169,28,26,0,0,0,1,2,0
170,28,56,0,0,0,3,2,0
171,61,34,0,0,0,1,2,0
172,4,29,0,4,1,3,1,0
173,1,11,1,1,1,3,2,1
174,21,8,0,0,0,3,2,0
175,56,31,0,0,0,1,0,0
176,18,8,0,1,1,3,2,0
177,28,25,0,3,1,3,2,0
178,50,29,1,0,0,1,0,0
179,30,13,0,0,0,2,2,0
180,36,0,0,0,0,3,2,0
181,28,70,1,8,2,3,2,0
182,28,15,0,0,0,2,0,0
183,9,31,0,4,2,3,2,0
184,1,39,0,2,1,2,2,1
185,4,22,1,0,2,3,2,1
186,28,50,0,0,0,1,2,0
187,28,16,1,1,0,3,1,1
188,45,27,0,0,0,1,2,1
189,40,16,0,1,1,3,1,0
190,36,8,0,0,0,3,2,0
191,32,13,1,0,0,2,2,1
192,19,13,0,0,0,2,2,0
193,19,8,1,1,0,3,2,1
194,3,26,0,1,1,2,2,1
195,44,28,1,0,0,1,0,1
196,58,147,1,0,0,1,0,1
197,28,8,0,0,0,3,1,0
198,42,8,0,0,1,3,2,0
199,28,8,1,0,0,3,1,1
200,24,13,1,0,0,2,2,0
201,28,10,0,0,0,3,2,0
202,28,70,0,8,2,3,2,0
203,34,6,0,0,0,3,2,0
204,46,7,0,0,0,3,0,0
205,18,8,0,0,0,3,2,1
206,2,10,1,0,1,3,2,0
207,32,16,0,1,0,3,2,0
208,26,19,0,0,0,3,0,1
209,16,8,1,0,0,3,1,1
210,40,31,0,0,0,1,0,1
211,24,7,0,0,0,3,2,0
